filename,samples,x_mean,x_std,x_range,x_rms,y_mean,y_std,y_range,y_rms,z_mean,z_std,z_range,z_rms,mag_mean,mag_std,mag_range,mag_rms,xyz_total_variation,activity_label,activity_name
1_20260921020139.csv,18211,-0.8696702705727308,0.06427132861515296,0.49799395999999985,0.8720419618344083,-0.2451573917907858,0.08320003889891492,0.46686933799999997,0.2588906974428432,9.559514113832298,0.025210224313095404,0.593762400000001,9.559547355809732,9.602700828972528,0.02374897138054645,0.6051426443572065,9.60273019637599,389.5508493980002,0,no_activity
2_20260921015953.csv,4712,-0.3588624814834465,0.014385691316724325,0.15562310000000001,0.35915070476210553,-0.34350697070033953,0.02114855273780967,0.12210429,0.34415737708587313,9.659942414134125,0.01708283643780285,0.174776099999999,9.659957518938072,9.672741167279993,0.01706187061369521,0.17699930554945809,9.672756215093086,98.32503894999996,0,no_activity
2_20260921020149.csv,4917,-1.0306144627638802,0.011181458708394707,0.09097971000000005,1.030675116550763,-0.45480970387634734,0.011902754054474805,0.07900867,0.45496542977919996,9.547259821496848,0.01120504067051865,0.08140280000000111,9.547266396833413,9.613503969938332,0.011036768342979252,0.08076544239175476,9.613510305308646,97.30277609000008,0,no_activity
3_20260921020003.csv,5254,-0.3483873335325466,0.013181736519753521,0.14844050999999997,0.34863661933823603,-0.32027984352303007,0.015903016373200237,0.20590136000000003,0.3206744207087664,9.665153011438905,0.019697643295841685,0.25139140000000104,9.665173083379207,9.676753434760114,0.019831060908876288,0.2527407690401837,9.676773755137527,113.3246656799999,0,no_activity
3_20260921020159.csv,5079,-1.0262654176432369,0.013180429643969533,0.17477675000000015,1.0263500529429745,-0.44952727946249266,0.013676463223185149,0.19153616,0.4497352783885706,9.535790147824375,0.014567564249259177,0.18674760000000035,9.535801275051435,9.601403237563886,0.014767490429476794,0.19610425571180912,9.601414594166625,102.44794915999998,0,no_activity
4_20260921020209.csv,5018,-1.035437834268633,0.011579787509114127,0.09097970000000011,1.0355025833447606,-0.46370982456556403,0.012514209976181,0.12449852,0.46387865530756434,9.532362662295736,0.01084607507692393,0.1029511000000003,9.532368832712802,9.599655698709661,0.010725486896828347,0.09603236609605759,9.599661690384616,99.71373802000014,0,no_activity
5_20260921020219.csv,4986,-1.0376578640794225,0.010843845829922519,0.0742202999999999,1.0377145233050622,-0.46348210712394705,0.011690375267044771,0.08858543000000002,0.4636295164222596,9.5331064607501,0.010652708585530992,0.09337429999999891,9.533112412648636,9.600621086507289,0.01052548731923267,0.09071735470258879,9.600626856230363,98.46398336000013,0,no_activity
6_20260921020229.csv,4972,-1.0376625184593724,0.010786797060438356,0.07661450999999997,1.0377185828567737,-0.4671500666492357,0.010811061741091416,0.07900863000000002,0.46727514788008473,9.533507445756236,0.009983453176608894,0.07661539999999967,9.53351267307213,9.601196354142376,0.009918561521540303,0.0756181082953109,9.601201477349568,98.22697264000018,0,no_activity
7_20260921020239.csv,5031,-1.0315563756171735,0.013617572933508142,0.1699883000000001,1.031646254473421,-0.4590447510971974,0.015505154885091408,0.12210425000000003,0.4593065352658272,9.541469733015305,0.016606051351227728,0.16280649999999852,9.541484183657627,9.608064163641354,0.016731468744100628,0.17056262825815693,9.60807873170779,102.59397440000006,0,no_activity
8_20260921020249.csv,4987,-1.0135236047403249,0.016956788505604878,0.21787234,1.0136654428568856,-0.45212965265289756,0.0184655918130713,0.18914195,0.45250657552022017,9.543191840525365,0.02359481487519695,0.26336279999999945,9.543221008672015,9.607536489240633,0.024282899332539482,0.2760773164584318,9.607567176517176,108.42622434000006,0,no_activity
9_20260921020259.csv,4997,-1.0288316243646187,0.014088973332752507,0.12449849999999996,1.0289280880908591,-0.4716797739123474,0.013926233271566871,0.11731585999999994,0.47188531349379503,9.543201267500502,0.012109677983558645,0.14844040000000014,9.543208950679222,9.610101759019834,0.01224814930392192,0.14653039662206346,9.610109564197355,99.59642567000009,0,no_activity
10_20260921020309.csv,5052,-1.0341164582798892,0.011289623938555092,0.0909797,1.0341780818089386,-0.4797341369061758,0.011881193594103022,0.08379703999999999,0.479881240385925,9.542571860510689,0.011412398866022539,0.08140280000000111,9.542578684813572,9.61043657335635,0.011275421114727015,0.08048595237676537,9.610443187784144,100.39855150000005,0,no_activity
11_20260921020319.csv,4939,-1.0344080692832558,0.010793907289260996,0.07900871000000009,1.0344643842263888,-0.48314980624215426,0.011165766265574065,0.07422020999999995,0.4832788114620055,9.542298970378619,0.010564541670357185,0.07900810000000114,9.542304818524167,9.610366568834806,0.010518274235834815,0.07833279330249354,9.610372324809823,96.42409060000006,0,no_activity
